ions,number,hydrogen,lattice type,KPTS,ENCUT,ENMAX,time
Nb,54,0.0,0,6,440.00000000,293.235,1226.862
Nb,54,0.0256076238715,0,6,410.00000000,293.235,10068.811
Nb,54,0.0256076238715,0,6,410.00000000,293.235,10089.452
Nb,54,0.0256076238715,0,6,410.00000000,293.235,10079.559
Nb,54,0.0256076238715,0,6,410.00000000,293.235,10116.869
Nb,54,0.0256076238715,0,6,410.00000000,293.235,10102.362
Nb,54,0.0256076238715,0,6,410.00000000,293.235,10066.394
Nb,54,0.0256076238715,0,6,410.00000000,293.235,10090.034
Nb,54,0.0256076238715,0,6,410.00000000,293.235,10094.677
Nb,54,0.0,0,2,440.00000000,293.235,823.552
Nb,54,0.0,0,3,440.00000000,293.235,506.699
Nb,54,0.0,0,4,440.00000000,293.235,1184.874
Nb,54,0.0,0,5,440.00000000,293.235,2367.668
Nb,54,0.0,0,6,440.00000000,293.235,2349.572
Nb,54,0.0,0,7,440.00000000,293.235,2342.200
Nb,54,0.0,0,8,440.00000000,293.235,4231.915
Nb,54,0.0,0,9,440.00000000,293.235,5597.869
TaN,72,0.0,0,5,450.00000000,223.667,718.500
TaN,72,0.0,0,5,460.00000000,223.667,985.914
TaN,72,0.0,0,5,470.00000000,223.667,988.838
TaN,72,0.0,0,5,480.00000000,223.667,977.189
TaN,72,0.0,0,5,490.00000000,223.667,1005.698
TaN,72,0.0,0,5,500.00000000,223.667,1003.508
TaN,72,0.0,0,5,510.00000000,223.667,1007.052
TaN,72,0.0,0,5,520.00000000,223.667,1085.688
TaN,72,0.0195312425625,0,5,480.00000000,223.667,10168.648
TaN,72,0.0195312425625,0,5,480.00000000,223.667,1150.378
TaN,72,0.0195312425625,0,5,480.00000000,223.667,5279.220
TaN,72,0.0195312425625,0,5,480.00000000,223.667,2787.460
TaN,72,0.0195312425625,0,5,480.00000000,223.667,6810.906
TaN,72,0.0,0,2,520.00000000,223.667,315.444
TaN,72,0.0,0,3,520.00000000,223.667,427.643
TaN,72,0.0,0,4,520.00000000,223.667,820.995
TaN,72,0.0,0,5,520.00000000,223.667,1008.694
TaN,72,0.0,0,6,520.00000000,223.667,1877.487
TaN,72,0.0,0,7,520.00000000,223.667,2439.667
TaN,72,0.0,0,8,520.00000000,223.667,3507.443
TaN,72,0.0,0,9,520.00000000,223.667,4195.057
TaN,72,0.0,0,5,450.00000000,223.667,560.855
TaN,72,0.0,0,5,460.00000000,223.667,734.541
TaN,72,0.0,0,5,470.00000000,223.667,757.114
TaN,72,0.0,0,5,480.00000000,223.667,750.582
TaN,72,0.0,0,5,490.00000000,223.667,770.586
TaN,72,0.0,0,5,500.00000000,223.667,774.819
TaN,72,0.0,0,5,510.00000000,223.667,704.060
TaN,72,0.0,0,5,520.00000000,223.667,810.271
TaN,72,0.0,0,5,530.00000000,223.667,830.611
TaN,72,0.0,0,5,540.00000000,223.667,799.967
TaN,72,0.0,0,5,550.00000000,223.667,823.530
TaN,72,0.0195312425625,0,5,480.00000000,223.667,12469.743
TaN,72,0.0195312425625,0,5,480.00000000,223.667,1150.882
TaN,72,0.0195312425625,0,5,480.00000000,223.667,5326.311
TaN,72,0.0195312425625,0,5,480.00000000,223.667,2795.399
TaN,72,0.0195312425625,0,5,480.00000000,223.667,6766.960
TaN,72,0.0,0,2,520.00000000,223.667,252.179
TaN,72,0.0,0,3,520.00000000,223.667,352.074
TaN,72,0.0,0,4,520.00000000,223.667,677.123
TaN,72,0.0,0,5,520.00000000,223.667,832.751
TaN,72,0.0,0,6,520.00000000,223.667,1523.451
TaN,72,0.0,0,7,520.00000000,223.667,1989.426
TaN,72,0.0,0,8,520.00000000,223.667,2684.704
TaN,72,0.0,0,9,520.00000000,223.667,3215.353
TaN,72,0.0,0,5,480.00000000,223.667,3479.515
TaN,72,0.0,0,5,480.00000000,223.667,10807.950
TaN,72,0.0,0,5,480.00000000,223.667,9068.851
TaN,72,0.0,0,5,480.00000000,223.667,2490.430
TaN,72,0.0,0,5,480.00000000,223.667,5952.970
TaN,72,0.0,0,5,480.00000000,223.667,3099.767
TaN,72,0.0,0,5,480.00000000,223.667,2368.412
TaN,72,0.0,0,6,480.00000000,223.667,4188.863
TaN,72,0.0,0,5,480.00000000,223.667,3479.515
TaN,72,0.0,0,5,480.00000000,223.667,10807.950
TaN,72,0.0,0,5,480.00000000,223.667,9068.851
TaN,72,0.0,0,5,480.00000000,223.667,2490.430
TaN,72,0.0,0,5,480.00000000,223.667,5952.970
TaN,72,0.0,0,5,480.00000000,223.667,3099.767
TaN,72,0.0,0,5,480.00000000,223.667,2368.412
TaN,72,0.0,0,6,480.00000000,223.667,4188.863
TiN,54,0.0,0,5,250.00000000,178.330,365.584
TiN,54,0.0,0,5,260.00000000,178.330,368.476
TiN,54,0.0,0,5,270.00000000,178.330,307.554
TiN,54,0.0,0,5,280.00000000,178.330,319.017
TiN,54,0.0,0,5,290.00000000,178.330,314.640
TiN,54,0.0,0,5,300.00000000,178.330,367.800
TiN,54,0.0,0,5,310.00000000,178.330,373.809
TiN,54,0.0,0,5,320.00000000,178.330,303.070
TiN,54,0.0,0,5,330.00000000,178.330,284.560
TiN,54,0.0,0,5,340.00000000,178.330,278.564
TiN,54,0.0,0,5,350.00000000,178.330,308.580
TiN,54,0.0,0,5,360.00000000,178.330,294.245
TiN,54,0.0,0,5,370.00000000,178.330,343.899
TiN,54,0.0,0,5,380.00000000,178.330,329.759
TiN,54,0.0,0,5,390.00000000,178.330,306.630
TiN,54,0.0,0,5,400.00000000,178.330,307.988
TiN,54,0.0,0,5,405.00000000,178.330,305.732
TiN,54,0.0,0,5,410.00000000,178.330,296.922
TiN,54,0.0,0,5,415.00000000,178.330,293.289
TiN,54,0.0,0,5,420.00000000,178.330,270.312
TiN,54,0.0,0,5,425.00000000,178.330,310.454
TiN,54,0.0,0,5,430.00000000,178.330,314.466
TiN,54,0.0,0,5,435.00000000,178.330,311.596
TiN,54,0.0,0,5,440.00000000,178.330,306.145
TiN,54,0.0,0,5,445.00000000,178.330,297.958
TiN,54,0.0,0,5,450.00000000,178.330,291.680
TiN,54,0.0,0,5,455.00000000,178.330,282.302
TiN,54,0.0,0,5,460.00000000,178.330,273.017
TiN,54,0.0,0,5,465.00000000,178.330,270.790
TiN,54,0.0,0,5,470.00000000,178.330,274.546
TiN,54,0.0,0,5,475.00000000,178.330,271.269
TiN,54,0.0,0,5,480.00000000,178.330,324.649
TiN,54,0.0,0,5,485.00000000,178.330,324.779
TiN,54,0.0,0,5,490.00000000,178.330,312.150
TiN,54,0.0,0,5,495.00000000,178.330,320.975
TiN,54,0.0,0,5,500.00000000,178.330,322.180
TiN,54,0.0,0,5,505.00000000,178.330,225.064
TiN,54,0.0,0,5,510.00000000,178.330,224.406
TiN,54,0.0,0,5,515.00000000,178.330,224.745
TiN,54,0.0,0,5,520.00000000,178.330,221.337
TiN,54,0.0256076194774,0,5,380.00000000,178.330,2968.134
TiN,54,0.0256076194774,0,5,380.00000000,178.330,6722.514
TiN,54,0.0256076194774,0,5,380.00000000,178.330,6702.260
TiN,54,0.0256076194774,0,5,380.00000000,178.330,2913.981
TiN,54,0.0256076194774,0,5,380.00000000,178.330,2927.567
TiN,54,0.0256076194774,0,5,380.00000000,178.330,2935.703
TiN,54,0.0256076194774,0,5,380.00000000,178.330,5903.348
TiN,54,0.0256076194774,0,5,380.00000000,178.330,5928.441
TiN,54,0.0,0,2,520.00000000,178.330,120.411
TiN,54,0.0,0,3,520.00000000,178.330,166.901
TiN,54,0.0,0,4,520.00000000,178.330,283.250
TiN,54,0.0,0,5,520.00000000,178.330,345.527
TiN,54,0.0,0,6,520.00000000,178.330,525.677
TiN,54,0.0,0,7,520.00000000,178.330,642.019
TiN,54,0.0,0,8,520.00000000,178.330,918.544
TiN,54,0.0,0,9,520.00000000,178.330,1097.887
W,64,0.0,0,7,450.00000000,223.057,1836.172
W,64,0.0,0,7,460.00000000,223.057,1259.115
W,64,0.0,0,7,470.00000000,223.057,1852.670
W,64,0.0,0,7,480.00000000,223.057,1952.457
W,64,0.0,0,7,490.00000000,223.057,1838.045
W,64,0.0,0,7,500.00000000,223.057,1753.618
W,64,0.0,0,7,510.00000000,223.057,1914.848
W,64,0.0,0,7,520.00000000,223.057,1932.902
W,64,0.0,0,7,560.00000000,223.057,2509.661
W,64,0.0298772801858,0,7,430.00000000,223.057,2931.465
W,64,0.0297687248693,0,7,430.00000000,223.057,6848.732
W,64,0.0149890422269,0,7,430.00000000,223.057,7521.450
W,64,0.0,0,2,520.00000000,223.057,434.377
W,64,0.0,0,3,520.00000000,223.057,548.656
W,64,0.0,0,4,520.00000000,223.057,1013.450
W,64,0.0,0,5,520.00000000,223.057,1247.576
W,64,0.0,0,6,520.00000000,223.057,1937.648
W,64,0.0,0,7,520.00000000,223.057,2425.135
W,64,0.0,0,8,520.00000000,223.057,3470.391
W,64,0.0,0,9,520.00000000,223.057,4094.707
